solx.02.dlnVp.invSAo**  225.75
  148.81  -19.91  -0.1778E-01
  149.03  -19.28  -0.1302E-01
  149.26  -18.66  -0.5964E-02
  149.48  -18.04  -0.1366E-02
  149.70  -17.42   0.3053E-03
  149.91  -16.81   0.2812E-03
  150.12  -16.20   0.1890E-04
  150.33  -15.59  -0.2596E-04
  150.54  -14.99  -0.4380E-04
  150.74  -14.40   0.1595E-04
  150.94  -13.81   0.6490E-03
  151.14  -13.22   0.1319E-02
  151.34  -12.63  -0.1249E-02
  151.53  -12.05  -0.5898E-02
  151.73  -11.48  -0.1365E-02
  151.92  -10.90   0.1167E-01
  152.10  -10.34   0.1068E-01
  152.29   -9.77  -0.1324E-02
  152.47   -9.21  -0.1038E-01
  152.66   -8.65  -0.2213E-01
  152.84   -8.09   0.3062E-01
  153.02   -7.54   0.7262E-01
  153.20   -6.99  -0.1225E+00
  153.37   -6.44  -0.3250E+00
  153.55   -5.90  -0.1720E+00
  153.72   -5.36   0.3883E-01
  153.90   -4.82   0.2022E+00
  154.07   -4.29   0.3906E+00
  154.24   -3.75   0.3758E+00
  154.41   -3.22   0.1403E+00
  154.58   -2.70  -0.5786E-01
  154.74   -2.17  -0.7615E-01
  154.91   -1.65  -0.1802E-01
  155.08   -1.13   0.6021E-02
  155.24   -0.61   0.3007E-02
  155.41   -0.09   0.2528E-04
  155.57    0.42  -0.1553E-03
  155.73    0.93  -0.1593E-04
  155.90    1.44   0.4678E-05
  156.06    1.95   0.1302E-05
  156.22    2.46  -0.6661E-06
  156.38    2.96  -0.2789E-05
  156.54    3.46   0.1429E-05
  156.70    3.97   0.5705E-05
  156.86    4.47   0.3522E-05
  157.02    4.96   0.6259E-05
  157.18    5.46   0.3640E-05
  157.34    5.96   0.6114E-05
  157.50    6.45   0.8025E-06
  157.66    6.94  -0.3387E-05
  157.82    7.44  -0.6404E-06
  157.98    7.93   0.4426E-06
  158.14    8.42   0.8714E-07
  158.30    8.91  -0.2505E-07
  158.46    9.39  -0.5507E-08
  158.62    9.88  -0.7745E-09
  158.78   10.37  -0.2357E-08
  158.94   10.86  -0.6034E-08
  159.10   11.34   0.1952E-07
  159.26   11.83   0.4977E-06
  159.43   12.31   0.1156E-05
  159.59   12.80  -0.5998E-05
  159.75   13.28  -0.3636E-04
  159.92   13.76  -0.5862E-04
  160.08   14.25   0.3851E-04
  160.25   14.73   0.7752E-03
  160.41   15.21   0.5274E-02
  160.58   15.70   0.1525E-01
  160.75   16.18   0.1639E-01
  160.91   16.66   0.6080E-02
  161.08   17.15  -0.5376E-02
  161.25   17.63  -0.1802E-01
  161.42   18.12  -0.1431E-01
  161.60   18.60  -0.2182E-02
  161.77   19.09   0.1046E-02
  161.95   19.57   0.9004E-04
  162.12   20.06  -0.8954E-04
  162.30   20.55  -0.2777E-04
  162.48   21.04   0.3965E-04
  162.66   21.52   0.1370E-03
  162.84   22.01   0.9328E-04
  163.03   22.50  -0.3252E-05
  163.21   23.00  -0.2791E-04
  163.40   23.49  -0.7327E-05
  163.59   23.98   0.1384E-05
  163.78   24.48   0.6039E-06
  163.98   24.97   0.3703E-07
  164.17   25.47   0.1079E-07
  164.37   25.97   0.4302E-09
  164.57   26.47  -0.1519E-08
  164.77   26.97  -0.1076E-09
  164.98   27.47  -0.8097E-10
  165.19   27.98  -0.3559E-10
  165.40   28.48   0.1839E-10
  165.61   28.99  -0.1001E-10
  165.83   29.50  -0.2520E-10
  166.05   30.01  -0.4966E-10
  166.27   30.53  -0.1153E-09
  166.50   31.04   0.5903E-10
  166.73   31.56   0.6401E-09
  166.96   32.08   0.1266E-08
  167.20   32.60   0.4303E-09
  167.44   33.12  -0.9538E-10
  167.69   33.65  -0.1053E-08
  167.94   34.18  -0.6962E-09
  168.20   34.71  -0.7721E-09
  168.46   35.24  -0.1232E-09
  168.72   35.78   0.2619E-09
  168.99   36.32   0.1728E-10
  169.27   36.86   0.1068E-09
  169.55   37.40  -0.5489E-10
  169.83   37.95  -0.9551E-10
  170.13   38.50   0.3582E-10
  170.42   39.05   0.2614E-10
  170.73   39.60  -0.1042E-10
  171.04   40.16  -0.1153E-10
  171.36   40.72   0.3159E-10
  171.69   41.28   0.3364E-09
  172.03   41.85  -0.1141E-08
  172.37   42.42  -0.1491E-07
  172.72   42.99   0.2160E-07
  173.09   43.56   0.4757E-06
  173.46   44.14   0.2281E-06
  173.84   44.72  -0.9319E-05
  174.23   45.30  -0.2520E-04
  174.64   45.89   0.5590E-04
  175.05   46.48   0.5258E-03
  175.48   47.07   0.1368E-02
  149.27  -20.39  -0.1079E-01
  149.50  -19.76  -0.6236E-02
  149.73  -19.14  -0.1260E-02
  149.96  -18.51   0.5968E-03
  150.18  -17.89   0.5133E-03
  150.40  -17.28   0.8168E-04
  150.61  -16.67  -0.3772E-04
  150.83  -16.06  -0.4618E-05
  151.04  -15.46  -0.1372E-04
  151.24  -14.86  -0.1030E-03
  151.45  -14.27   0.4229E-04
  151.65  -13.68   0.9902E-03
  151.85  -13.09   0.1170E-02
  152.05  -12.51  -0.1529E-03
  152.25  -11.93   0.4526E-02
  152.44  -11.35   0.1228E-01
  152.63  -10.78   0.4896E-02
  152.82  -10.21  -0.1193E-01
  153.01   -9.64  -0.1449E-01
  153.20   -9.08  -0.2882E-01
  153.38   -8.52  -0.2799E-01
  153.57   -7.96   0.3856E-01
  153.75   -7.41  -0.3356E-01
  153.93   -6.86  -0.1798E+00
  154.11   -6.31  -0.1192E+00
  154.29   -5.77  -0.9355E-01
  154.46   -5.23   0.2212E-01
  154.64   -4.69   0.2580E+00
  154.81   -4.15   0.2727E+00
  154.98   -3.62   0.9340E-01
  155.16   -3.08  -0.3693E-01
  155.33   -2.55  -0.3192E-01
  155.50   -2.03   0.1448E-02
  155.67   -1.50   0.5881E-02
  155.83   -0.98   0.9972E-03
  156.00   -0.46  -0.2789E-03
  156.17    0.06  -0.8648E-04
  156.34    0.58   0.1108E-05
  156.50    1.09   0.2841E-05
  156.67    1.60   0.3575E-06
  156.83    2.11   0.1525E-06
  157.00    2.62  -0.4123E-06
  157.16    3.13  -0.1058E-05
  157.32    3.64   0.1756E-06
  157.49    4.14   0.2166E-06
  157.65    4.65   0.5222E-06
  157.81    5.15   0.2008E-06
  157.98    5.65   0.5854E-07
  158.14    6.15  -0.1243E-05
  158.30    6.65  -0.3497E-06
  158.47    7.14   0.2778E-06
  158.63    7.64   0.7044E-07
  158.79    8.13  -0.2292E-07
  158.95    8.63  -0.5854E-08
  159.12    9.12   0.1042E-08
  159.28    9.61   0.5668E-09
  159.44   10.11  -0.2400E-08
  159.61   10.60  -0.1326E-07
  159.77   11.09   0.3572E-07
  159.94   11.58   0.3790E-06
  160.10   12.07  -0.5838E-07
  160.27   12.56  -0.4224E-05
  160.43   13.05  -0.3387E-05
  160.60   13.54  -0.3148E-04
  160.77   14.03  -0.2447E-03
  160.94   14.51   0.1775E-04
  161.11   15.00   0.3015E-02
  161.28   15.49   0.9604E-02
  161.45   15.98   0.1350E-01
  161.62   16.47   0.5262E-02
  161.79   16.96  -0.1993E-02
  161.96   17.45  -0.7731E-02
  162.14   17.94  -0.6011E-03
  162.32   18.43   0.2514E-02
  162.49   18.92   0.2033E-03
  162.67   19.41  -0.2014E-03
  162.85   19.90  -0.4563E-04
  163.03   20.39  -0.1182E-03
  163.21   20.89  -0.4667E-03
  163.40   21.38  -0.1406E-03
  163.58   21.87   0.2574E-03
  163.77   22.37   0.2070E-03
  163.96   22.87   0.1473E-04
  164.15   23.36  -0.3167E-04
  164.35   23.86  -0.7796E-05
  164.54   24.36   0.1137E-05
  164.74   24.86   0.4851E-06
  164.94   25.36   0.3038E-07
  165.14   25.87   0.1473E-08
  165.35   26.37  -0.8621E-09
  165.55   26.88  -0.8421E-09
  165.76   27.38  -0.2381E-09
  165.97   27.89   0.1131E-10
  166.19   28.40  -0.6552E-10
  166.41   28.92  -0.1047E-09
  166.63   29.43   0.1829E-09
  166.85   29.95   0.2764E-09
  167.08   30.46   0.1009E-08
  167.31   30.98   0.1976E-08
  167.54   31.51   0.1081E-08
  167.78   32.03  -0.1376E-08
  168.02   32.56  -0.2236E-08
  168.27   33.08   0.2356E-08
  168.52   33.61   0.2520E-08
  168.78   34.15   0.3484E-08
  169.04   34.68   0.2305E-08
  169.30   35.22  -0.1336E-09
  169.57   35.76   0.5950E-10
  169.84   36.30   0.1998E-09
  170.12   36.84   0.1965E-09
  170.41   37.39   0.2556E-09
